t,p,q,in equilibrium,p_e,q_e
206,49.9999795,51.0000205,False,49.9999794,51.0000206
207,49.9999794,52.0000206,False,49.9999793,52.0000207
208,49.9999793,53.0000207,False,49.9999792,53.0000208
209,49.9999792,54.0000208,False,49.9999791,54.0000209
210,49.9999791,50.0000209,False,49.999979,50.000021
211,49.999979,51.000021,False,49.9999789,51.0000211
212,49.9999789,52.0000211,False,49.9999788,52.0000212
213,49.9999788,53.0000212,False,49.9999787,53.0000213
214,49.9999787,54.0000213,False,49.9999786,54.0000214
215,49.9999786,50.0000214,False,49.9999785,50.0000215
216,49.9999785,51.0000215,False,49.9999784,51.0000216
217,49.9999784,52.0000216,False,49.9999783,52.0000217
218,49.9999783,53.0000217,False,49.9999782,53.0000218
219,49.9999782,54.0000218,False,49.9999781,54.0000219
220,49.9999781,50.0000219,False,49.999978,50.000022
221,49.999978,51.000022,False,49.9999779,51.0000221
222,49.9999779,52.0000221,False,49.9999778,52.0000222
223,49.9999778,53.0000222,False,49.9999777,53.0000223
224,49.9999777,54.0000223,False,49.9999776,54.0000224
225,49.9999776,50.0000224,False,49.9999775,50.0000225
226,49.9999775,51.0000225,False,49.9999774,51.0000226
227,49.9999774,52.0000226,False,49.9999773,52.0000227
228,49.9999773,53.0000227,False,49.9999772,53.0000228
229,49.9999772,54.0000228,False,49.9999771,54.0000229
230,49.9999771,50.0000229,False,49.999977,50.000023
231,49.999977,51.000023,False,49.9999769,51.0000231
232,49.9999769,52.0000231,False,49.9999768,52.0000232
233,49.9999768,53.0000232,False,49.9999767,53.0000233
234,49.9999767,54.0000233,False,49.9999766,54.0000234
235,49.9999766,50.0000234,False,49.9999765,50.0000235
236,49.9999765,51.0000235,False,49.9999764,51.0000236
237,49.9999764,52.0000236,False,49.9999763,52.0000237
238,49.9999763,53.0000237,False,49.9999762,53.0000238
239,49.9999762,54.0000238,False,49.9999761,54.0000239
240,49.9999761,50.0000239,False,49.999976,50.000024
241,49.999976,51.000024,False,49.9999759,51.0000241
242,49.9999759,52.0000241,False,49.9999758,52.0000242
243,49.9999758,53.0000242,False,49.9999757,53.0000243
244,49.9999757,54.0000243,False,49.9999756,54.0000244
245,49.9999756,50.0000244,False,49.9999755,50.0000245
246,49.9999755,51.0000245,False,49.9999754,51.0000246
247,49.9999754,52.0000246,False,49.9999753,52.0000247
248,49.9999753,53.0000247,False,49.9999752,53.0000248
249,49.9999752,54.0000248,False,49.9999751,54.0000249
250,49.9999751,50.0000249,False,49.999975,50.000025
251,49.999975,51.000025,False,49.9999749,51.0000251
252,49.9999749,52.0000251,False,49.9999748,52.0000252
253,49.9999748,53.0000252,False,49.9999747,53.0000253
